UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54018943,222,70,אשדוד,גן ילדים - בוסתן,,13,5305,165623.42412700001,631957.34839399997,0,,165623.42412700001,631957.34839399997
53986219,222,240,יקנעם עילית,גן ילדים - גפן,,13,5305,208378.65352699999,727623.92839400005,0,,208378.65352699999,727623.92839400005
54018962,222,6400,הרצלייה,גן ילדים - שלהב,,13,5305,184534.30522700000,675205.42779400002,0,,184534.30522700000,675205.42779400002
53983467,222,6200,בת ים,גן ילדים - גן חוף הסלע,Gan Hof HaSela Kindergarten,13,5305,175593.32002700001,658071.46279400005,2014,2015-07,175593.32002700001,658071.46279400005
53994015,222,8600,רמת גן,גן ילדים - גן שרקרק,Gan Shrakrak Kindergarten,13,5305,182443.65302699999,666913.34399400000,0,,182443.65302699999,666913.34399400000
53994018,222,156,עיינות,גן ילדים - תמר,,13,5305,178229.60492700001,647153.09629400005,0,,178229.60492700001,647153.09629400005
53994019,222,1310,לפיד,גן ילדים - פינוקי,,13,5305,203349.43812700000,647319.04509399994,0,,203349.43812700000,647319.04509399994
53994022,222,6300,גבעתיים,גן ילדים - הבית של יעל,HaBayit Shel Ya'el Kindergarten,13,5305,183050.01852700001,665013.98309400002,0,,183050.01852700001,665013.98309400002
54020710,222,2610,בית שמש,פסגה מרכז אזורי לפיתוח סגלי הוראה,PiSGaH - Regional Center for Development of Instr*,13,5300,199222.08502699999,628687.34689399996,2014,2015-07,199222.08502699999,628687.34689399996
54019694,222,2650,רמת השרון,גן ילדים - ברוש,,13,5305,185111.66362700000,672262.23409399996,0,,185111.66362700000,672262.23409399996
53993391,222,9100,נהרייה,כולל,Kolel,13,5340,210056.80532700001,768092.69009399996,0,,210056.80532700001,768092.69009399996
53986609,222,2650,רמת השרון,גן ילדים - שלי,,13,5305,184913.80162700001,673337.04589399998,0,,184913.80162700001,673337.04589399998
53987290,222,6900,כפר סבא,גן ילדים - דרור,Dror Kindergarten,13,5305,193071.80292700001,675150.46869400004,0,,193071.80292700001,675150.46869400004
53986659,222,6100,בני ברק,גן ילדים - תקווה,Tikva Kindergarten,13,5305,185190.32382699999,665620.91549399996,0,,185190.32382699999,665620.91549399996
53986664,222,31,אופקים,גן ילדים - אוהל מרים,,13,5305,164428.46972699999,579485.91629400000,0,,164428.46972699999,579485.91629400000
53986668,222,0,,גן ילדים - עירית,Irit Kindergarten,13,5305,228686.82582699999,631941.15869399998,0,,228686.82582699999,631941.15869399998
53986674,222,0,,גן ילדים - אצרות מנחם,Otsrot Menahem Kindergarten,13,5305,211358.98542700001,623252.12189399998,0,,211358.98542700001,623252.12189399998
54019075,222,8300,ראשון לציון,גן ילדים - טיול אחר,,13,5305,181060.54922700001,651618.62589400006,0,,181060.54922700001,651618.62589400006
