UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54449381,252,3000,ירושלים,המכון - הגיאולוגי משרד תשתיות,,13,5420,220484.31292699999,633000.79969400004,0,,220484.31292699999,633000.79969400004
54446285,252,8300,ראשון לציון,מכון - וולקני,,13,5420,183255.52102700001,655411.11309400003,0,,183255.52102700001,655411.11309400003
54452592,252,5000,תל אביב -יפו,מאיר סיגלס מחקר זואולוגי,,13,5420,182073.03492700000,668814.64159400004,0,,182073.03492700000,668814.64159400004
54448082,252,5000,תל אביב -יפו,חקר דגנים,Cereal Research,13,5420,182046.34522700001,668928.62239399995,0,,182046.34522700001,668928.62239399995
54450183,252,3000,ירושלים,מכון - בן צבי,,13,5420,220423.54082699999,631470.67609399999,0,,220423.54082699999,631470.67609399999
54452914,252,0,,המכון - לחקר מערות,,13,5420,224620.31312700000,651603.73789400002,0,,224620.31312700000,651603.73789400002
54446348,252,8300,ראשון לציון,מכון - להנדסה חקלאית,,13,5420,182779.51502699999,656142.10109400004,0,,182779.51502699999,656142.10109400004
54449274,252,3000,ירושלים,מכון - ישראלי לסיבים,,13,5420,221229.27832700001,630449.04149400000,0,,221229.27832700001,630449.04149400000
65106969,252,8400,רחובות,מכון וייצמן למדע,,13,5425,182545.26532700000,646205.94119399996,2014,2015-07,182545.26532700000,646205.94119399996
64763993,252,0,,מכון התקנים - אתר רופין,,13,5426,192291.37882700001,693995.68909400003,2014,2015-07,192291.37882700001,693995.68909400003
54452468,252,0,,מכון - יד לזהבה מכון חברות נאוה,,13,5420,214931.19162699999,679828.68559400004,0,,214931.19162699999,679828.68559400004
54446411,252,6500,חדרה,עין טל מחקר לפתוח חקלאי,,13,5420,192182.19712699999,702496.29589399998,2014,2015-07,192182.19712699999,702496.29589399998
54447545,252,7900,פתח תקווה,קרית מדע וטכנולוגיה,Science & Technology Campus,13,5420,187738.33732699999,667139.67309399997,2014,2015-07,187738.33732699999,667139.67309399997
60590784,252,3000,ירושלים,מכון - שלום הארטמן,,13,5420,220683.94772699999,630420.88459399994,2014,2015-07,220683.94772699999,630420.88459399994
54446291,252,8300,ראשון לציון,מכון - וטרינרי,,13,5420,182590.46572700000,655101.41619400005,0,,182590.46572700000,655101.41619400005
54452353,252,2600,אילת,המרכז הלאומי לחקלאות ימית,,13,5420,197164.49122699999,384859.02579400002,0,,197164.49122699999,384859.02579400002
54451567,252,2560,ערד,מכון - למחקרים מתקדמים,,13,5420,220578.71842700001,574068.00179400004,0,,220578.71842700001,574068.00179400004
53944022,222,8000,צפת,המכון - והמכללה לרפואה יהודית,,13,5420,247704.66002700001,764990.52159400005,0,,247704.66002700001,764990.52159400005
54009334,222,4000,חיפה,מכון - לחקר הימים והאגמים,,13,5420,196252.15632700000,747955.52279399999,0,,196252.15632700000,747955.52279399999
53951091,222,5000,תל אביב -יפו,המכון - לפריון העבודה והייצור,,13,5420,180477.26922700001,665148.01689400000,0,,180477.26922700001,665148.01689400000
53944468,222,4000,חיפה,גוטוירס תעשיות עתירות מידע,,13,5420,202937.23872699999,742721.96149400005,0,,202937.23872699999,742721.96149400005
53947689,222,4000,חיפה,המכון - לבטיחות בדרכים,,13,5420,202437.80272700000,742747.06979400001,0,,202437.80272700000,742747.06979400001
53945668,222,616,רינתיה,"אוקיאנה מחקרים ימיים בע""מ",,13,5420,193652.72392700001,661122.79769399995,0,,193652.72392700001,661122.79769399995
53962747,222,3000,ירושלים,בית ספר ארכיאולוגי,Archaeological School,13,5420,221992.66882699999,633391.99329400004,0,,221992.66882699999,633391.99329400004
53958249,222,3000,ירושלים,מכון - ללימודי יהדות,,13,5420,221078.81312700000,631590.12409399997,0,,221078.81312700000,631590.12409399997
53959208,222,5000,תל אביב -יפו,מכון - התקנים,,13,5420,178142.27392700000,664350.88149399997,0,,178142.27392700000,664350.88149399997
53954839,222,7900,פתח תקווה,מחקר אלוגריטמי AV,AV Algorithmic Research,13,5420,186432.22842699999,666141.88719399995,0,,186432.22842699999,666141.88719399995
53962726,222,3000,ירושלים,מכון - קלרה שואן,,13,5420,221453.75672700000,633501.49629399995,0,,221453.75672700000,633501.49629399995
53954325,222,247,רשפון,מכון - תערובת,Compound Feeds Institute,13,5420,183384.65082700000,678634.58009399998,0,,183384.65082700000,678634.58009399998
