UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54452836,252,9000,באר שבע,האוניברסיטה - הפתוחה באר שבע,,13,5380,179507.73532700000,572444.87839400000,0,,179507.73532700000,572444.87839400000
54452224,252,9000,באר שבע,אוניברסיטת - בן גוריון בנגב,,13,5380,180727.01912700001,572796.47349400003,2014,2015-07,180727.01912700001,572796.47349400003
54446252,252,9000,באר שבע,מרכז ספורט אוניברסיטת בן גוריון,Ben Gurion university  Sports Center,13,5380,181616.87212700001,574526.28529399994,2014,2015-07,181616.87212700001,574526.28529399994
54446214,252,9000,באר שבע,אוניברסיטת - בן גוריון,,13,5380,181153.26632699999,574647.21029399999,2014,2015-07,181153.26632699999,574647.21029399999
54448255,252,9000,באר שבע,"קרית אוניברסיטת בן גוריון ע""ש א.ברגמן",The David Bergmann Campus of the Ben Gurion Unive*,13,5380,180945.44542700000,573448.88009400002,2014,2015-07,180945.44542700000,573448.88009400002
54446959,252,9000,באר שבע,"קרית אוניברסיטת בן גוריון ע""ש דוד טוביה",The David Tuviyyahu Campus of the Ben Gurion Univ*,13,5380,181125.09832700001,572845.44339399994,2014,2015-07,181125.09832700001,572845.44339399994
54446171,252,5000,תל אביב -יפו,אוניברסיטת - תל אביב,,13,5380,181711.49322700000,668918.54299400002,2014,2015-07,181711.49322700000,668918.54299400002
54448533,252,5000,תל אביב -יפו,"האוניברסיטה - העממית המכללה האקדמית- ת""א",,13,5380,179633.14632699999,665700.79489400005,0,,179633.14632699999,665700.79489400005
54446208,252,8600,רמת גן,אוניברסיטת - בר אילן,,13,5380,185261.96562700000,663899.03369399998,2014,2015-07,185261.96562700000,663899.03369399998
54448292,252,3000,ירושלים,אוניברסיטת - אל קודס,,13,5380,221375.83662700001,637605.34879399999,2014,2015-07,221375.83662700001,637605.34879399999
65107152,252,3000,ירושלים,האוניברסיטה - העברית גבעת רם,,13,5380,218836.96792699999,631160.20989399997,2014,2015-07,218836.96792699999,631160.20989399997
54449790,252,0,,שלוחה רופין,,13,5380,187937.09082700001,700751.03199399996,2014,2015-07,187937.09082700001,700751.03199399996
54452350,252,8700,רעננה,האוניברסיטה - הפתוחה,,13,5380,189626.10862700001,677196.68879399996,2014,2015-07,189626.10862700001,677196.68879399996
54452662,252,3000,ירושלים,אוניברסיטה - מורמונית,,13,5380,223279.50002700000,632663.18449400004,2014,2015-07,223279.50002700000,632663.18449400004
54446337,252,3000,ירושלים,האוניברסיטה - העברית הר הצופים,,13,5380,223256.50282699999,633318.29779400001,2014,2015-07,223256.50282699999,633318.29779400001
54446913,252,8400,רחובות,האוניברסיטה - העברית ירושלים הפקולטה לחקלאות,,13,5380,181493.36512700000,645854.24009400001,2014,2015-07,181493.36512700000,645854.24009400001
54446365,252,4000,חיפה,אוניברסיטת - חיפה,,13,5380,202129.38812700001,740807.47889400006,2014,2015-07,202129.38812700001,740807.47889400006
54448596,252,2600,אילת,אוניברסיטת - בן גוריון בנגב קמפוס אילת,,13,5380,194899.26502699999,386579.16969399998,2014,2015-07,194899.26502699999,386579.16969399998
54446704,252,2600,אילת,האוניברסיטה - למחקר ימי,,13,5380,191591.73842700000,379434.26799399999,0,,191591.73842700000,379434.26799399999
54451161,252,4000,חיפה,האוניברסיטה - הפתוחה,,13,5380,206811.19102699999,747655.84509399999,2014,2015-07,206811.19102699999,747655.84509399999
54449673,252,7300,נצרת,אוניברסיטה - ערבית אמריקאית,,13,5380,228312.66952699999,734547.39509400004,2014,2015-07,228312.66952699999,734547.39509400004
53950312,222,9300,זכרון יעקב,האוניברסיטה - הפתוחה בית דניאל,,13,5380,195466.72512700001,720198.11929399997,2014,2015-07,195466.72512700001,720198.11929399997
53946439,222,2500,נשר,אוניברסיטת - חיפה,,13,5380,202401.98652700000,740394.61579399998,2014,2015-07,202401.98652700000,740394.61579399998
53956948,222,4000,חיפה,אונברסיטת - טכניון,,13,5380,202345.77592700001,742377.31659399997,0,,202345.77592700001,742377.31659399997
53957072,222,6700,טבריה,קמפוס האוניברסיטה הפתוחה,Open University Campus,13,5380,251499.72682700001,741617.17479399999,0,,251499.72682700001,741617.17479399999
54013620,222,3000,ירושלים,האונברסיטה - העברית,,13,5380,218756.07842700000,631262.47389400005,0,,218756.07842700000,631262.47389400005
53964656,222,5000,תל אביב -יפו,האוניברסיטה - הפתוחה,,13,5380,182085.65272700001,669320.43329399999,0,,182085.65272700001,669320.43329399999
53959739,222,5000,תל אביב -יפו,בית איילה שלוחת האונברסיטה הפתוחה,,13,5380,178572.43592700001,665876.62499399995,0,,178572.43592700001,665876.62499399995
53958577,222,3000,ירושלים,אוניברסיטה - טורן,,13,5380,221335.90192700000,632270.79689400003,0,,221335.90192700000,632270.79689400003
53969537,222,3000,ירושלים,האקדמיה ללשון העיברית,Ha'Akademya LaLashon Ha'Ivrit (The Academy of the*,13,5380,218879.55422699999,631102.61849400005,0,,218879.55422699999,631102.61849400005
53971377,222,3000,ירושלים,האוניברסיטה - הפתוחה אוהלי השכלה,,13,5380,218729.34842699999,628906.80059400003,0,,218729.34842699999,628906.80059400003
53984368,222,70,אשדוד,אוניברסיטה - פתוחה,,13,5380,168064.00892699999,635047.35559399996,0,,168064.00892699999,635047.35559399996
53976244,222,9000,באר שבע,אוניברסיטת - בן גוריון,,13,5380,181596.17402700000,574471.33849400003,0,,181596.17402700000,574471.33849400003
53981639,222,8300,ראשון לציון,אוניברסיטת - דרבי בישראל,,13,5380,182449.42152700000,653566.27279399999,0,,182449.42152700000,653566.27279399999
53973472,222,3000,ירושלים,האונברסיטה - העברית,,13,5380,218789.23522700000,630882.79879399994,0,,218789.23522700000,630882.79879399994
53974892,222,9000,באר שבע,האוניברסיטה - הפתוחה באר שבע,,13,5380,179444.75082700001,572427.32739400002,0,,179444.75082700001,572427.32739400002
53996141,222,4000,חיפה,לימודים כלליים,General Studies,13,5380,202639.98082699999,742554.34219400003,0,,202639.98082699999,742554.34219400003
53997467,222,3000,ירושלים,האקדמיה ללשון העיברית,Ha'Akademya LaLashon Ha'Ivrit (The Academy of the*,13,5380,218878.11572700000,631061.03899399994,0,,218878.11572700000,631061.03899399994
53992890,222,5000,תל אביב -יפו,אוניברסיטת - דרבי,,13,5380,180826.23262699999,664438.70189400006,0,,180826.23262699999,664438.70189400006
53991191,222,8600,רמת גן,שלוחת אוניברסיטת דרבי,Derby University Extension,13,5380,184777.99822700000,661932.42649400001,2014,2015-07,184777.99822700000,661932.42649400001
54020858,222,6700,טבריה,קמפוס האוניברסיטה הפתוחה,Open University Campus,13,5380,251477.82182700001,741631.26509400003,0,,251477.82182700001,741631.26509400003
54021530,222,4000,חיפה,שלוחת אוניברסיטת דרבי בישראל,,13,5380,204139.20352700001,743883.71429399995,0,,204139.20352700001,743883.71429399995
54007256,222,5000,תל אביב -יפו,אורט קריירה,Ort Career,13,5380,180944.66732700000,663354.45639399998,0,,180944.66732700000,663354.45639399998
61239546,222,1140,מדרשת בן גוריון,אוניברסיטת - בן גוריון קמפוס שדה בוקר,,13,5380,179125.21622700000,529314.97569400002,0,,179125.21622700000,529314.97569400002
64763339,222,9000,באר שבע,ספריה - ארז,,13,5380,181007.96952700001,574557.58639399998,2014,2015-07,181007.96952700001,574557.58639399998
64763340,222,9000,באר שבע,בית הסטודנט,Bet HaStudent,13,5380,181002.99532700001,574562.34889400005,2014,2015-07,181002.99532700001,574562.34889400005
